"grid_point","Year","Objective","type1_biome","type2_vegetation_community","type3_vegetation_indicators","type4_indicators_history","OBJECTID","Action","Method","Type","layer","bird_MS_pt"
1,NA,NA,"forest","upland","mixed canopy conifer","mixed canopy conifer",NA,NA,NA,NA,NA,NA
2,NA,NA,"rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",NA,NA,NA,NA,NA,NA
3,"2019","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",81,"Chemical","pre-emergent","broadcast","WC_2019","bird_MS_pt"
4,"2019","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",81,"Chemical","pre-emergent","broadcast","WC_2019","bird_MS_pt"
5,"2019","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",81,"Chemical","pre-emergent","broadcast","WC_2019","bird_MS_pt"
6,NA,NA,"rangeland","shrubland","bitterbrush","bitterbrush",NA,NA,NA,NA,NA,"bird_MS_pt"
7,NA,NA,"rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",NA,NA,NA,NA,NA,NA
8,NA,NA,"rangeland","shrubland","bitterbrush","bitterbrush",NA,NA,NA,NA,NA,NA
9,"2015","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical",NA,"broadcast","WC_2015","bird_MS_pt"
9,"2019","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",81,"Chemical","pre-emergent","broadcast","WC_2019","bird_MS_pt"
10,"2019","Weed Control","forest","upland","wooded draw","wooded draw",81,"Chemical","pre-emergent","broadcast","WC_2019","bird_MS_pt"
11,NA,NA,"rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",NA,NA,NA,NA,NA,"bird_MS_pt"
12,NA,NA,"rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",NA,NA,NA,NA,NA,"bird_MS_pt"
13,NA,NA,"rangeland","shrubland","bitterbrush","bitterbrush",NA,NA,NA,NA,NA,NA
14,NA,NA,"rangeland","shrubland","bitterbrush","bitterbrush",NA,NA,NA,NA,NA,NA
15,NA,NA,"rangeland","shrubland","bitterbrush","bitterbrush",NA,NA,NA,NA,NA,NA
16,NA,NA,"forest","upland","mixed canopy conifer","mixed canopy conifer",NA,NA,NA,NA,NA,NA
17,"2018","Weed Control","forest","upland","mixed canopy conifer","mixed canopy conifer",110,"Chemical","pre-emergent","broadcast","WC_2018",NA
17,"2021","Weed Control","forest","upland","mixed canopy conifer","mixed canopy conifer",0,"Chemical","post-emergent","broadcast","WC_2021",NA
18,NA,NA,"forest","upland","mixed canopy conifer","mixed canopy conifer",NA,NA,NA,NA,NA,NA
19,"2015","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical",NA,"broadcast","WC_2015","bird_MS_pt"
19,"2019","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",81,"Chemical","pre-emergent","broadcast","WC_2019","bird_MS_pt"
20,"2015","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical",NA,"broadcast","WC_2015","bird_MS_pt"
20,"2019","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",81,"Chemical","pre-emergent","broadcast","WC_2019","bird_MS_pt"
21,"2015","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical",NA,"broadcast","WC_2015","bird_MS_pt"
21,"2019","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",81,"Chemical","pre-emergent","broadcast","WC_2019","bird_MS_pt"
22,"2015","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical",NA,"broadcast","WC_2015","bird_MS_pt"
22,"2019","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",81,"Chemical","pre-emergent","broadcast","WC_2019","bird_MS_pt"
23,NA,NA,"rangeland","shrubland","bitterbrush","bitterbrush",NA,NA,NA,NA,NA,"bird_MS_pt"
24,NA,NA,"rangeland","shrubland","sagebrush","sagebrush",NA,NA,NA,NA,NA,"bird_MS_pt"
25,NA,NA,"forest","upland","wooded draw","wooded draw",NA,NA,NA,NA,NA,NA
26,NA,NA,"rangeland","shrubland","wooded draw non-forest","wooded draw non-forest",NA,NA,NA,NA,NA,NA
