"key_plant_species","key_plant_code","plant_name_sci","plant_name_syn","plant_name_common","plant_name_family","plant_native_status","plant_life_cycle","plant_life_form","origin_status"
360,"NV","no vegetation",NA,"no vegetation","None","none","unknown","none","weed"
6,"STINEL","Stipa nelsonii","Achnatherum nelsonii","Columbia needlegrass","Poaceae","native","perennial","graminoid","native"
409,"POAPAL","Poa palustris",NA,"fowl bluegrass","Poaceae","native","perennial","graminoid","native"
407,"POACUS","Poa cusickii",NA,"Cusick's bluegrass","Poaceae","native","perennial","graminoid","native"
275,"HORJUB","Hordeum jubatum",NA,"foxtail barley","Poaceae","native","perennial","graminoid","native"
366,"ORYZ_SP","Oryzopsis spp.",NA,"ricegrass","Poaceae","native","perennial","graminoid","native"
198,"ELYLAN","Elymus lanceolatus",NA,"thickspike wheatgrass","Poaceae","native","perennial","graminoid","native"
235,"FESOVI","Festuca ovina",NA,"sheep fescue","Poaceae","native","perennial","graminoid","native"
76,"BROCAR","Bromus carinatus",NA,"mountain brome","Poaceae","native","perennial","graminoid","native"
256,"GLYSTR","Glyceria striata",NA,"Glyceria striata","Poaceae","native","perennial","graminoid","native"
746,"BROCIL","Bromus ciliatus",NA,"fringed brome","Poaceae","native","perennial","graminoid","native"
766,"STIRIC","Stipa richardsonii","Achnatherum richardsonii","Richardson's needlegrass","Poaceae","native","perennial","graminoid","native"
236,"FESSUB","Festuca subulata",NA,"bearded fescue","Poaceae","native","perennial","graminoid","native"
83,"BROVUL","Bromus vulgaris",NA,"Columbia brome","Poaceae","native","perennial","graminoid","native"
649,"DESCES","Deschampsia cespitosa",NA,"tufted hairgrass","Poaceae","native","perennial","graminoid","native"
437,"PSESPI","Pseudoroegneria spicata",NA,"bluebunch wheatgrass","Poaceae","native","perennial","graminoid","native"
201,"ELYTRA","Elymus trachycaulus",NA,"slender wild rye","Poaceae","native","perennial","graminoid","native"
233,"FESIDA","Festuca idahoensis",NA,"Idaho fescue","Poaceae","native","perennial","graminoid","native"
757,"MELI_SP","Melica spp.",NA,"oniongrass","Poaceae","native","perennial","graminoid","native"
408,"POAWHE","Poa wheeleri","Poa nervosa","Wheeler’s bluegrass","Poaceae","native","perennial","graminoid","native"
686,"ELYSMI","Elymus smithii","Pascopyrum smithii, Agropyron smithii ","western wheatgrass","Poaceae","native","perennial","graminoid","native"
88,"CALA_SP","Calamagrostis spp.",NA,"reedgrass","Poaceae","native","perennial","graminoid","native"
197,"ELYGLA","Elymus glaucus",NA,"blue wild rye","Poaceae","native","perennial","graminoid","native"
286,"KOEMAC","Koeleria macrantha",NA,"June grass","Poaceae","native","perennial","graminoid","native"
772,"TRIS_SP","Trisetum spp.",NA,"trisetum","Poaceae","native","perennial","graminoid","native"
75,"BOUGRA","Bouteloua gracilis",NA,"blue grama grass","Poaceae","native","perennial","graminoid","native"
137,"CINLAT","Cinna latifolia ",NA,"drooping woodreed ","Poaceae","native","perennial","graminoid","native"
335,"MELBUL","Melica bulbosa",NA,"oniongrass","Poaceae","native","perennial","graminoid","native"
720,"MELSUB","Melica subulata",NA,"Alaska oniongrass","Poaceae","native","perennial","graminoid","native"
738,"BOUCUR","Bouteloua curtipendula",NA,"sideoats grama","Poaceae","native","perennial","graminoid","native"
13,"AGRSCA","Agrostis scabra",NA,"rough bentgrass","Poaceae","native","perennial","graminoid","native"
86,"CALCAN","Calamagrostis canadensis",NA,"bluejoint","Poaceae","native","perennial","graminoid","native"
511,"SPOCRY","Sporobolus cryptandrus",NA,"sand dropseed","Poaceae","native","perennial","graminoid","native"
671,"TRICAN","Trisetum canescens","Trisetum cernuum subsp. canescens","tall trisetum","Poaceae","native","perennial","graminoid","native"
252,"GLYELA","Glyceria elata",NA,"tall mannagrass ","Poaceae","native","perennial","graminoid","native"
532,"TRICER","Trisetum cernuum ssp. canescens","Trisetum canescens","tall trisetum","Poaceae","native","perennial","graminoid","native"
195,"ELYCAN","Elymus canadensis",NA,"Canada wildrye ","Poaceae","native","perennial","graminoid","native"
196,"ELYELY","Elymus elymoides",NA,"bottlebrush squirreltail","Poaceae","native","perennial","graminoid","native"
411,"POASEC","Poa secunda","Poa sandbergii, Poa nevadensis or P. juncifolia","Sandberg's bluegrass","Poaceae","native","perennial","graminoid","native"
232,"FESCAM","Festuca campestris","Festuca scabrella var. major","rough fescue","Poaceae","native","perennial","graminoid","native"
667,"DANCAL","Danthonia californica",NA,"California oatgrass","Poaceae","native","perennial","graminoid","native"
4,"STIHYM","Stipa hymenoides","Achnatherum hymenoides, Oryzopsis hymenoides","Indian ricegrass","Poaceae","native","perennial","graminoid","native"
53,"ARIPUR","Aristida purpurea var. longiseta","Aristida longiseta","three-awn","Poaceae","native","perennial","graminoid","native"
668,"DANINT","Danthonia intermedia ",NA,"timber oatgrass","Poaceae","native","perennial","graminoid","native"
571,"VULOCT","Vulpia octoflora",NA,"sixweeks fescue","Poaceae","native","annual","graminoid","native"
299,"ELYCIN","Elymus cinereus","Leymus cinereus","basin wildrye","Poaceae","native","perennial","graminoid","native"
7,"STIOCC","Stipa occidentalis","Stipa occidentalis","western needlegrass","Poaceae","native","perennial","graminoid","native"
253,"GLYGRA","Glyceria grandis",NA,"American mannagrass","Poaceae","native","perennial","graminoid","native"
87,"CALRUB","Calamagrostis rubescens",NA,"pinegrass","Poaceae","native","perennial","graminoid","native"
719,"GLYBOR","Glyceria borealis",NA,"small floating manna grass","Poaceae","native","perennial","graminoid","native"
173,"DANUNI","Danthonia unispicata",NA,"onespike oatgrass","Poaceae","native","perennial","graminoid","native"
26,"ANDGER","Andropogon gerardii",NA,"big bluestem","Poaceae","native","perennial","graminoid","native"
180,"DICACU","Dichanthelium acuminatum var. acuminatum",NA,"western witchgrass","Poaceae","native","perennial","graminoid","native"
265,"STICOM","Stipa comata","Hesperostipa comata ssp. intermedia","needle and thread","Poaceae","native","perennial","graminoid","native"
736,"POAFEN","Poa fendleriana",NA,"muttongrass","Poaceae","native","perennial","graminoid","native"
357,"STIVIR","Stipa viridula","Nassella viridula","green needlegrass","Poaceae","native","perennial","graminoid","native"
234,"FESOCC","Festuca occidentalis",NA,"western fescue","Poaceae","native","perennial","graminoid","native"
650,"ZIZPAL","Zizania palustris",NA,"northern wildrice","Poaceae","native","annual","graminoid","native"
264,"HERLAN","Heracleum lanatum",NA,"cow parsnip","Apiaceae","native","perennial","forb","native"
499,"SIUSUA","Sium suave",NA,"hemlock waterparsnip","Apiaceae","native","perennial","forb","native"
29,"ANGARG","Angelica arguta",NA,"Lyall's angelica","Apiaceae","native","perennial","forb","native"
596,"CYMGLA","Cymopterus glaucus",NA,"waxy springparsley","Apiaceae","native","perennial","forb","native"
316,"LOMTRI","Lomatium triternatum",NA,"nine-leaf lomatium","Apiaceae","native","perennial","forb","native"
384,"PERMON","Perideridia montana","Perideridia gairdneri ","Gardner's yampah","Apiaceae","native","perennial","forb","native"
312,"LOMAMB","Lomatium ambiguum",NA,"Wyeth's biscuitroot","Apiaceae","native","perennial","forb","native"
368,"OSMOCC","Osmorhiza occidentalis",NA,"western sweetroot","Apiaceae","native","perennial","forb","native"
367,"OSMBER","Osmorhiza berteroi","Osmorhiza chilensis","sweet cicely","Apiaceae","native","perennial","forb","native"
313,"LOMCOU","Lomatium cous ",NA,"cous biscuitroot","Apiaceae","native","perennial","forb","native"
314,"LOMDIS","Lomatium dissectum",NA,"fernleaf biscuitroot","Apiaceae","native","perennial","forb","native"
315,"LOMMAC","Lomatium macrocarpum",NA,"big seed biscuitroot","Apiaceae","native","perennial","forb","native"
70,"ASTR_SP","Astragalus spp.",NA,"milkvetch","Fabaceae","native","unknown","forb","native"
371,"OXYT_SP","Oxytropis spp.",NA,"locoweed","Fabaceae","native","perennial","forb","native"
66,"ASTCAN","Astragalus canadensis",NA,"Canada milkvetch","Fabaceae","native","perennial","forb","native"
707,"LUPARB","Lupinus arbustus",NA,"longspur lupine","Fabaceae","native","perennial","forb","native"
320,"LUPSER","Lupinus sericeus",NA,"silky lupine","Fabaceae","native","perennial","forb","native"
254,"GLYLEP","Glycrrhiza lepidota",NA,"wild licorice","Fabaceae","native","perennial","forb","native"
69,"ASTPUR","Astragalus purshii",NA,"woollypod milkvetch","Fabaceae","native","perennial","forb","native"
68,"ASTMIS","Astragalus miser",NA,"timber milkvetch","Fabaceae","native","perennial","forb","native"
322,"LUPPOL","Lupinus polyphyllus var. humicola","Lupinus wyethii","Wyeth's lupine","Fabaceae","native","perennial","forb","native"
534,"TRILON","Trifolium longipes",NA,"longstalk clover","Fabaceae","native","perennial","forb","native"
319,"LUPARG","Lupinus argenteus",NA,"silvery lupine","Fabaceae","native","perennial","forb","native"
171,"DALPUR","Dalea purpurea",NA,"purple prairie clover","Fabaceae","native","perennial","forb","native"
639,"DALCAN","Dalea candida ",NA,"white prairie clover","Fabaceae","native","perennial","forb","native"
369,"OXYBES","Oxytropis besseyi",NA,"Bessey's locoweed","Fabaceae","native","perennial","forb","native"
321,"LUPI_SP","Lupinus spp.",NA,"lupine","Fabaceae","native","perennial","forb","native"
67,"ASTINF","Astragalus inflexus",NA,"hariy milkvetch","Fabaceae","native","perennial","forb","native"
598,"TRIMIC","Trifolium microcephalum",NA,"smallhead clover","Fabaceae","native","annual","forb","native"
564,"VICAME","Vicia americana",NA,"American vetch","Fabaceae","native","perennial","forb","native"
303,"LINLEW","Linum lewisii ",NA,"Lewis flax","Linaceae","native","perennial","forb","native"
1,"ABIGRA","Abies grandis",NA,"grand fir","Pinaceae","native","perennial","tree","native"
291,"LAROCC","Larix occidentalis",NA,"western larch","Pinaceae","native","perennial","tree","native"
396,"PICENG","Picea engelmannii",NA,"Englemann spruce","Pinaceae","native","perennial","tree","native"
398,"PINMON","Pinus monticola",NA,"white pine","Pinaceae","native","perennial","tree","native"
2,"ABILAS","Abies lasiocarpa",NA,"subalpine fir","Pinaceae","native","perennial","tree","native"
399,"PINPON","Pinus ponderosa",NA,"ponderosa pine","Pinaceae","native","perennial","tree","native"
397,"PINCON","Pinus contorta",NA,"lodgepole pine","Pinaceae","native","perennial","tree","native"
436,"PSEMEN","Pseudotsuga menziesii",NA,"Douglas-fir","Pinaceae","native","perennial","tree","native"
476,"SANOCC","Sanguisorba occidentalis","Sanguisorba annua","prairie burnet","Rosaceae","native","perennial","forb","native"
591,"CERLED","Cercocarpus ledifolius",NA,"curl-leaf mountain mahogany","Rosaceae","native","perennial","shrub","native"
427,"POTGRA","Potentilla gracilis",NA,"slender cinquefoil","Rosaceae","native","perennial","forb","native"
432,"PRUN_SP","Prunus spp.",NA,"cherry","Rosaceae","native","perennial","shrub","native"
